gene,importance
ESR1,0.08491607108626574
TOP2A,0.08355241689559319
CCNB1,0.07362028367864167
CDC20,0.06822617757974218
ERBB2,0.06739489389765561
GATA3,0.06419210252686847
KRT17,0.05835896234253475
PGAP3,0.04965768208774044
GRB7,0.048950540457381425
MIEN1,0.04830286680302381
KRT5,0.048242925025893356
KRT14,0.0446318275808481
FOXA1,0.04097802579017773
STARD3,0.037671057979243514
FOXC1,0.03686973914587143
BUB1,0.03289728878494497
EGFR,0.0311408933646467
TFF1,0.03078023510859435
PGR,0.02621568178908258
MKI67,0.023400328075249995
